Run,Price,Std,Time (Train),Time (Price)
0,16.8322,0.0073,219.5,283.3
1,16.8231,0.0073,216.8,279.5
2,16.8129,0.0073,216.5,281.7
3,16.8258,0.0073,216.0,280.9
4,16.8238,0.0073,215.8,283.0
5,16.8282,0.0073,217.6,283.6
6,16.8324,0.0073,217.1,282.3
7,16.8439,0.0073,216.7,279.8
8,16.8313,0.0073,215.9,278.4
9,16.8192,0.0073,215.3,283.2
Mean,16.8273,0.0073,216.7,281.6
Std,0.008,0.0,1.1,1.7
Batch size,512.0,,,
# Iterations,3000.0,,,
# MC Simulations,4194304.0,,,
Mu,0.0,,,
