Run,Price,Std,Time (Train),Time (Price)
0,5.2932,0.0029,190.6,241.4
1,5.2878,0.0029,198.5,249.4
2,5.2925,0.0029,193.6,244.8
3,5.2922,0.0029,199.6,254.3
4,5.2894,0.0029,197.5,251.2
5,5.2918,0.0029,199.1,249.2
6,5.2877,0.0029,194.6,242.5
7,5.2908,0.0029,191.0,240.7
8,5.2807,0.003,188.9,242.7
9,5.2942,0.0029,189.4,242.9
Mean,5.29,0.0029,194.3,245.9
Std,0.0038,0.0,4.0,4.5
Batch size,512.0,,,
# Iterations,3000.0,,,
# MC Simulations,4194304.0,,,
Mu,0.05,,,
