Run,Price,Std,Time (Train),Time (Price)
0,5.2894,0.0029,323.9,239.5
1,5.2956,0.0029,325.5,246.8
2,5.2904,0.0029,324.1,248.6
3,5.2902,0.0029,328.0,242.2
4,5.2812,0.003,323.1,241.6
5,5.2828,0.0029,320.4,238.4
6,5.2907,0.0029,320.0,244.4
7,5.2885,0.0029,327.0,245.6
8,5.2792,0.003,322.6,247.8
9,5.2876,0.0029,329.5,241.5
Mean,5.2876,0.0029,324.4,243.7
Std,0.0047,0.0,3.0,3.3
Batch size,512.0,,,
# Iterations,5000.0,,,
# MC Simulations,4194304.0,,,
Mu,0.05,,,
