Run,Price,Std,Time (Train),Time (Price)
0,5.2858,0.0029,195.4,251.4
1,5.2827,0.0029,197.8,246.5
2,5.2847,0.0029,189.0,240.8
3,5.2908,0.0029,200.1,248.0
4,5.2899,0.0029,194.3,239.3
5,5.2899,0.0029,197.9,238.7
6,5.2814,0.0029,188.9,240.4
7,5.2879,0.0029,190.9,242.4
8,5.2934,0.0029,191.3,240.7
9,5.2918,0.0029,193.0,243.3
Mean,5.2878,0.0029,193.9,243.1
Std,0.0038,0.0,3.7,4.0
Batch size,512.0,,,
# Iterations,3000.0,,,
# MC Simulations,4194304.0,,,
Mu,0.05,,,
